name,skill,competing
Ace Vega,Advanced,yes
Blaze Ortiz,Advanced,yes
Cinder Shaw,Advanced,yes
Dash Volley,Advanced,yes
Echo Reed,Advanced,yes
Frost Hale,Advanced,yes
Morgan Ellis,Intermediate,yes
Jamie Cole,Beginner,yes
Drew Santos,Intermediate,yes
Avery Smash,Intermediate,yes
Avery Rally,Intermediate,yes
Avery Spin,Intermediate,yes
Avery Slice,Intermediate,yes
Avery Drive,Intermediate,yes
Avery Chop,Intermediate,yes
Avery Loop,Intermediate,yes
Avery Serve,Intermediate,yes
Avery Net,Intermediate,yes
Avery Cork,Intermediate,yes
Avery Feather,Intermediate,yes
Avery Grip,Intermediate,yes
Avery Rubber,Intermediate,yes
Avery Blade,Intermediate,yes
Avery Foam,Intermediate,yes
Avery Pivot,Intermediate,yes
Avery Arc,Intermediate,yes
Avery Bounce,Intermediate,yes
Avery Twist,Intermediate,yes
Avery Flick,Intermediate,yes
Avery Sweep,Beginner,yes
Avery Drop,Beginner,yes
Avery Kick,Beginner,yes
Avery Push,Beginner,yes
Avery Block,Beginner,yes
Avery Angle,Beginner,yes
Avery Tempo,Beginner,yes
Avery Pulse,Beginner,yes
Avery Spark,Beginner,yes
Avery Ember,Beginner,yes
Blair Smash,Beginner,yes
Blair Rally,Beginner,yes
Blair Spin,Beginner,yes
Blair Slice,Beginner,yes
Blair Drive,Beginner,yes
Blair Chop,Beginner,yes
Blair Loop,Beginner,yes
Blair Serve,Beginner,yes
Blair Net,Beginner,yes
Blair Cork,Beginner,yes
Blair Feather,Beginner,yes
Blair Grip,Beginner,yes
Blair Rubber,Beginner,yes
Blair Blade,Beginner,yes
Blair Foam,Beginner,yes
Blair Pivot,Beginner,yes
Blair Arc,Beginner,yes
Blair Bounce,Beginner,yes
Blair Twist,Beginner,yes
Blair Flick,Beginner,yes
Blair Sweep,Beginner,yes
Blair Drop,Beginner,yes
Blair Kick,Beginner,yes
Blair Push,Beginner,yes
Blair Block,Beginner,yes
Blair Angle,Beginner,yes
Blair Tempo,Beginner,yes
Blair Pulse,Beginner,yes
Blair Spark,Beginner,yes
Blair Ember,Beginner,yes
Cameron Smash,Beginner,yes
Cameron Rally,Beginner,yes
Cameron Spin,Beginner,yes
Cameron Slice,Beginner,yes
Cameron Drive,Beginner,yes
Cameron Chop,Beginner,yes
Cameron Loop,Beginner,yes
Cameron Serve,Beginner,yes
Cameron Net,Beginner,yes
Cameron Cork,Beginner,yes
Cameron Feather,Beginner,yes
Cameron Grip,Beginner,yes
Cameron Rubber,Beginner,yes
Cameron Blade,Beginner,yes
Cameron Foam,Beginner,yes
Cameron Pivot,Beginner,yes
Cameron Arc,Beginner,yes
Cameron Bounce,Beginner,no
Cameron Twist,Beginner,no
Cameron Flick,Beginner,no
Cameron Sweep,Beginner,no
Cameron Drop,Beginner,no
Cameron Kick,Beginner,no
Cameron Push,Beginner,no
Cameron Block,Beginner,no
